Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,6.10,6.13,6.05,6.12,31100,6.12
2017-01-23,6.13,6.13,6.10,6.11,44700,6.11
2017-01-20,6.13,6.13,6.10,6.10,10100,6.10
2017-01-19,6.11,6.13,6.10,6.11,15700,6.11
2017-01-18,6.11,6.14,6.09,6.10,13400,6.10
2017-01-17,6.18,6.18,6.10,6.13,55200,6.13
2017-01-13,6.14,6.14,6.10,6.13,16600,6.13
2017-01-12,6.15,6.15,6.10,6.10,13700,6.10
2017-01-11,5.99,6.13,5.96,6.13,14500,6.13
2017-01-10,6.04,6.09,6.01,6.02,25500,6.02
2017-01-09,6.05,6.05,6.03,6.03,15200,6.03
2017-01-06,6.00,6.11,6.00,6.05,10200,6.05
2017-01-05,6.10,6.12,6.01,6.06,19600,6.06
2017-01-04,6.11,6.12,6.04,6.06,16000,6.06
2017-01-03,6.23,6.24,6.10,6.12,46800,6.12
2016-12-30,6.19,6.27,6.14,6.20,14000,6.20
2016-12-29,6.16,6.22,6.04,6.19,57300,6.19
2016-12-28,6.20,6.29,6.13,6.19,105400,6.19
2016-12-27,6.30,6.34,6.17,6.24,59100,6.24
2016-12-23,6.22,6.30,6.20,6.30,43200,6.30
2016-12-22,6.21,6.23,6.12,6.23,111000,6.23
2016-12-21,6.10,6.23,6.07,6.23,57600,6.23
2016-12-20,5.99,6.10,5.98,6.08,68500,6.08
2016-12-19,6.03,6.04,6.00,6.03,30400,6.03
2016-12-16,5.99,6.05,5.98,5.99,31800,5.99
2016-12-15,5.86,6.12,5.80,5.97,70500,5.97
2016-12-14,5.84,5.90,5.81,5.86,35100,5.86
2016-12-13,5.70,5.86,5.67,5.83,50400,5.83
2016-12-12,5.68,5.72,5.61,5.67,17800,5.67
2016-12-09,5.73,5.73,5.61,5.66,13700,5.66
2016-12-08,5.53,5.75,5.51,5.68,45800,5.68
2016-12-07,5.48,5.54,5.47,5.53,130100,5.53
2016-12-06,5.47,5.50,5.47,5.48,9100,5.48
2016-12-05,5.43,5.50,5.43,5.46,18400,5.46
2016-12-02,5.24,5.40,5.22,5.39,9300,5.39
2016-12-01,5.47,5.50,5.14,5.22,24900,5.22
2016-11-30,5.49,5.50,5.40,5.45,14400,5.45
2016-11-29,5.50,5.54,5.46,5.47,54000,5.47
2016-11-28,5.35,5.55,5.35,5.50,195900,5.50
2016-11-25,5.42,5.50,5.42,5.47,18100,5.47
2016-11-23,5.35,5.44,5.34,5.39,62600,5.39
2016-11-22,5.19,5.35,5.19,5.35,47500,5.35
2016-11-21,5.19,5.21,5.16,5.16,58900,5.16
2016-11-18,5.14,5.20,5.13,5.19,59800,5.19
2016-11-17,5.13,5.18,5.12,5.17,61300,5.17
2016-11-16,5.17,5.19,5.06,5.18,48100,5.18
2016-11-15,5.05,5.06,5.00,5.06,60300,5.06
2016-11-14,5.10,5.10,5.05,5.09,12200,5.09
2016-11-11,5.10,5.10,5.05,5.08,1900,5.08
2016-11-10,5.08,5.14,5.04,5.07,6400,5.07
2016-11-09,4.91,5.13,4.91,5.10,5800,5.10
2016-11-08,5.02,5.15,5.01,5.11,38900,5.11
2016-11-07,5.00,5.02,5.00,5.02,19300,5.02
2016-11-04,5.00,5.02,4.97,4.99,44100,4.99
2016-11-03,4.88,5.02,4.80,5.00,65500,5.00
2016-11-02,5.24,5.24,4.71,4.94,9700,4.94
2016-11-01,5.28,5.30,5.07,5.08,30800,5.08
2016-10-31,5.30,5.30,5.28,5.28,20500,5.28
2016-10-28,5.30,5.37,5.19,5.26,129000,5.26
2016-10-27,5.22,5.23,5.16,5.19,28900,5.19
2016-10-26,5.20,5.23,5.18,5.18,17500,5.18
2016-10-25,5.22,5.30,5.19,5.22,34100,5.22
2016-10-24,5.24,5.25,5.21,5.25,13000,5.25
2016-10-21,5.18,5.22,5.10,5.20,209500,5.20
2016-10-20,5.18,5.19,5.17,5.17,7600,5.17
2016-10-19,5.19,5.19,5.11,5.19,4000,5.19
2016-10-18,5.15,5.18,5.09,5.14,22000,5.14
2016-10-17,5.00,5.15,5.00,5.13,57500,5.13
2016-10-14,4.92,5.05,4.81,5.05,12000,5.05
2016-10-13,4.99,5.04,4.88,5.01,409500,5.01
2016-10-12,5.05,5.05,4.98,5.04,31400,5.04
2016-10-11,5.00,5.05,5.00,5.03,5900,5.03
2016-10-10,5.05,5.05,5.03,5.05,11900,5.05
2016-10-07,4.96,5.05,4.96,5.05,71600,5.05
2016-10-06,4.96,5.00,4.92,4.96,29700,4.96
2016-10-05,4.91,5.00,4.84,5.00,92600,5.00
2016-10-04,4.90,5.00,4.85,4.92,196900,4.92
2016-10-03,4.76,4.90,4.76,4.90,95600,4.90
2016-09-30,4.72,4.75,4.65,4.73,14300,4.73
2016-09-29,4.64,4.70,4.64,4.66,13600,4.66
2016-09-28,4.72,4.72,4.61,4.61,6300,4.61
2016-09-27,4.54,4.61,4.54,4.61,18000,4.61
2016-09-26,4.51,4.58,4.49,4.56,68800,4.56
2016-09-23,4.60,4.60,4.55,4.55,16900,4.55
2016-09-22,4.50,4.68,4.50,4.57,15500,4.57
2016-09-21,4.61,4.61,4.47,4.49,17700,4.49
2016-09-20,4.54,4.62,4.47,4.50,1600,4.50
2016-09-19,4.57,4.64,4.52,4.52,16100,4.52
2016-09-16,4.57,4.64,4.46,4.52,57800,4.52
2016-09-15,4.51,4.61,4.50,4.57,40500,4.57
2016-09-14,4.66,4.74,4.48,4.48,51600,4.48
2016-09-13,4.60,4.73,4.59,4.70,13300,4.70
2016-09-12,4.62,4.72,4.56,4.65,86900,4.65
2016-09-09,4.75,4.80,4.63,4.63,142400,4.63
2016-09-08,4.82,4.84,4.78,4.81,16700,4.81
2016-09-07,4.82,4.82,4.75,4.80,37800,4.80
2016-09-06,4.81,4.85,4.80,4.82,26200,4.82
2016-09-02,4.87,4.87,4.82,4.83,23000,4.83
2016-09-01,4.86,4.90,4.86,4.88,7500,4.88
2016-08-31,4.90,4.90,4.84,4.89,14000,4.89
2016-08-30,4.81,4.93,4.81,4.86,4100,4.86
2016-08-29,4.90,4.90,4.81,4.81,5700,4.81
2016-08-26,4.85,4.90,4.82,4.90,12900,4.90
2016-08-25,4.75,4.90,4.75,4.81,2900,4.81
2016-08-24,4.97,4.97,4.75,4.75,2600,4.75
2016-08-23,4.96,4.98,4.82,4.83,10900,4.83
2016-08-22,4.95,4.97,4.84,4.85,8500,4.85
2016-08-19,4.75,4.98,4.75,4.92,24400,4.92
2016-08-18,4.68,4.95,4.60,4.75,26300,4.75
2016-08-17,4.88,4.88,4.76,4.78,900,4.78
2016-08-16,5.00,5.02,4.88,4.90,12700,4.90
2016-08-15,5.01,5.02,4.98,4.98,27900,4.98
2016-08-12,4.94,5.05,4.94,5.00,28000,5.00
2016-08-11,4.92,4.98,4.89,4.89,8300,4.89
2016-08-10,4.99,5.00,4.87,4.95,26500,4.95
2016-08-09,4.91,4.97,4.91,4.97,24900,4.97
2016-08-08,4.97,5.01,4.81,4.88,34000,4.88
2016-08-05,4.96,5.10,4.96,5.01,37700,5.01
2016-08-04,4.99,5.00,4.98,4.98,34100,4.98
2016-08-03,4.88,5.00,4.88,5.00,62300,5.00
2016-08-02,4.98,4.99,4.92,4.92,16900,4.92
2016-08-01,4.85,5.02,4.85,4.99,29900,4.99
2016-07-29,5.22,5.22,4.75,4.87,34000,4.87
2016-07-28,5.14,5.24,5.09,5.22,28200,5.22
2016-07-27,5.15,5.21,5.12,5.13,30300,5.13
2016-07-26,5.12,5.14,5.06,5.12,31000,5.12
2016-07-25,5.09,5.15,4.98,5.07,27000,5.07
2016-07-22,5.00,5.12,4.99,5.06,30500,5.06
2016-07-21,4.96,5.03,4.90,4.99,56000,4.99
2016-07-20,4.92,4.99,4.84,4.93,105900,4.93
2016-07-19,4.96,4.96,4.66,4.85,29600,4.85
2016-07-18,4.73,5.02,4.73,4.93,77400,4.93
2016-07-15,4.69,4.81,4.65,4.72,24700,4.72
2016-07-14,4.63,4.70,4.59,4.64,44400,4.64
2016-07-13,4.50,4.60,4.50,4.59,33000,4.59
2016-07-12,4.40,4.65,4.40,4.56,40400,4.56
2016-07-11,4.18,4.39,4.18,4.38,21300,4.38
2016-07-08,4.18,4.19,4.14,4.18,17500,4.18
2016-07-07,4.18,4.19,4.15,4.17,20100,4.17
2016-07-06,4.10,4.14,4.10,4.12,21400,4.12
2016-07-05,4.18,4.19,4.10,4.14,57900,4.14
2016-07-01,4.12,4.12,4.03,4.04,26100,4.04
2016-06-30,4.08,4.29,4.08,4.17,20900,4.17
2016-06-29,4.23,4.23,4.02,4.07,13000,4.07
2016-06-28,4.05,4.10,3.87,4.02,54100,4.02
2016-06-27,3.90,3.96,3.85,3.89,54000,3.89
2016-06-24,4.21,4.21,3.95,3.95,38700,3.95
2016-06-23,4.16,4.34,4.16,4.26,42800,4.26
2016-06-22,4.13,4.20,4.11,4.15,38600,4.15
2016-06-21,4.05,4.20,4.00,4.20,26900,4.20
2016-06-20,3.93,4.09,3.93,4.00,63900,4.00
2016-06-17,3.94,3.96,3.89,3.94,24900,3.94
2016-06-16,3.98,4.08,3.93,3.93,26100,3.93
2016-06-15,4.00,4.17,3.88,3.98,27000,3.98
2016-06-14,4.08,4.18,3.93,3.97,16800,3.97
2016-06-13,4.11,4.14,4.05,4.05,57300,4.05
2016-06-10,4.17,4.20,4.07,4.08,18800,4.08
2016-06-09,4.19,4.20,4.16,4.16,27500,4.16
2016-06-08,4.18,4.20,4.16,4.19,29300,4.19
2016-06-07,4.20,4.23,4.10,4.18,52800,4.18
2016-06-06,4.10,4.20,4.10,4.20,53100,4.20
2016-06-03,4.08,4.20,4.03,4.09,35400,4.09
2016-06-02,4.03,4.20,4.03,4.05,30200,4.05
2016-06-01,3.99,4.13,3.99,4.03,26500,4.03
2016-05-31,3.84,4.14,3.84,4.00,123900,4.00
2016-05-27,3.82,3.89,3.82,3.84,1800,3.84
2016-05-26,3.83,3.90,3.80,3.81,21100,3.81
2016-05-25,3.79,3.87,3.79,3.80,9400,3.80
2016-05-24,3.90,3.98,3.78,3.79,31000,3.79
2016-05-23,3.71,3.90,3.71,3.90,72600,3.90
2016-05-20,3.88,3.90,3.76,3.77,21300,3.77
2016-05-19,3.74,3.88,3.69,3.78,12100,3.78
2016-05-18,3.68,3.90,3.66,3.77,33800,3.77
2016-05-17,3.67,3.79,3.61,3.71,35500,3.71
2016-05-16,3.95,3.95,3.67,3.67,68200,3.67
2016-05-13,3.89,3.90,3.65,3.68,35900,3.68
2016-05-12,3.90,3.92,3.80,3.84,85300,3.84
2016-05-11,3.68,3.93,3.65,3.84,343400,3.84
2016-05-10,3.56,3.67,3.56,3.67,13000,3.67
2016-05-09,3.63,3.63,3.59,3.60,2100,3.60
2016-05-06,3.60,3.73,3.50,3.59,30600,3.59
2016-05-05,3.65,3.90,3.54,3.65,29800,3.65
2016-05-04,3.79,3.96,3.58,3.58,45600,3.58
2016-05-03,3.83,3.85,3.78,3.78,4000,3.78
2016-05-02,3.88,3.93,3.87,3.87,6300,3.87
2016-04-29,3.90,4.00,3.87,3.97,21500,3.97
2016-04-28,4.07,4.14,4.05,4.07,20200,4.07
2016-04-27,4.15,4.15,4.03,4.08,15700,4.08
2016-04-26,4.08,4.13,4.07,4.09,17700,4.09
2016-04-25,4.20,4.20,4.02,4.05,67500,4.05
2016-04-22,3.96,4.13,3.93,4.07,19300,4.07
2016-04-21,4.10,4.15,3.95,4.03,31700,4.03
2016-04-20,4.03,4.13,3.96,4.11,13600,4.11
2016-04-19,3.91,4.21,3.83,4.01,244100,4.01
2016-04-18,4.00,4.03,3.93,3.96,9500,3.96
2016-04-15,4.00,4.16,4.00,4.00,13600,4.00
2016-04-14,4.14,4.27,4.14,4.20,96600,4.20
2016-04-13,4.09,4.21,4.06,4.11,52100,4.11
2016-04-12,4.01,4.26,3.97,4.10,15300,4.10
2016-04-11,3.87,4.02,3.81,3.91,59300,3.91
2016-04-08,3.89,4.06,3.80,3.81,32600,3.81
2016-04-07,3.81,3.96,3.81,3.86,10700,3.86
2016-04-06,4.02,4.07,3.88,3.92,80700,3.92
2016-04-05,4.10,4.10,4.02,4.06,24100,4.06
2016-04-04,4.02,4.21,4.02,4.05,132900,4.05
2016-04-01,4.12,4.25,4.12,4.16,9500,4.16
2016-03-31,4.16,4.35,4.02,4.10,11700,4.10
2016-03-30,4.06,4.25,4.06,4.13,10200,4.13
2016-03-29,4.64,4.64,3.99,4.05,164400,4.05
2016-03-28,4.28,4.39,4.11,4.12,8800,4.12
2016-03-24,4.60,4.60,4.25,4.29,16900,4.29
2016-03-23,4.28,4.40,4.09,4.09,12600,4.09
2016-03-22,4.41,4.50,4.26,4.38,16100,4.38
2016-03-21,4.30,4.50,4.29,4.38,26400,4.38
2016-03-18,4.08,4.39,4.04,4.39,38200,4.39
2016-03-17,3.95,4.08,3.95,4.01,20400,4.01
2016-03-16,3.94,4.10,3.93,3.99,18400,3.99
